date,category,region,units,price,revenue
2025-01-04,Apparel,AMER,3,32.76,98.28
2025-01-04,Food,AMER,17,24.36,414.12
2025-01-04,Sports,APAC,14,23.27,325.78
2025-01-04,Gadgets,AMER,38,25.42,965.96
2025-01-04,Sports,EMEA,3,38.25,114.75
2025-01-04,Food,APAC,10,31.73,317.3
2025-01-04,Gadgets,AMER,1,30.0,30.0
2025-01-04,Gadgets,EMEA,3,37.35,112.05
2025-01-04,Home,APAC,1,33.04,33.04
2025-01-04,Sports,AMER,6,28.9,173.4
2025-01-04,Food,APAC,3,39.54,118.62
2025-01-04,Sports,APAC,13,20.33,264.29
2025-01-04,Gadgets,AMER,1,24.31,24.31
2025-01-04,Apparel,APAC,11,29.83,328.13
2025-01-04,Food,AMER,10,30.62,306.2
2025-01-04,Food,EMEA,5,30.56,152.8
2025-01-04,Home,EMEA,2,17.25,34.5
2025-01-04,Food,APAC,17,30.53,519.01
2025-01-04,Gadgets,AMER,20,15.95,319.0
2025-01-04,Sports,AMER,6,38.46,230.76
2025-01-04,Sports,EMEA,10,23.57,235.7
2025-01-04,Home,APAC,1,20.52,20.52
2025-01-04,Sports,EMEA,1,40.07,40.07
2025-01-04,Food,EMEA,5,36.07,180.35
2025-01-04,Sports,APAC,1,9.39,9.39
2025-01-04,Apparel,APAC,29,39.04,1132.16
2025-01-04,Food,AMER,18,31.69,570.42
2025-01-05,Sports,AMER,10,30.0,300.0
2025-01-05,Gadgets,EMEA,2,24.29,48.58
2025-01-05,Gadgets,APAC,10,22.16,221.6
2025-01-05,Home,AMER,1,29.01,29.01
2025-01-05,Sports,APAC,3,37.71,113.13
2025-01-05,Sports,EMEA,4,23.84,95.36
2025-01-05,Food,APAC,3,22.9,68.7
2025-01-05,Home,EMEA,1,24.74,24.74
2025-01-05,Food,APAC,2,17.1,34.2
2025-01-05,Home,APAC,23,43.38,997.74
2025-01-05,Gadgets,EMEA,1,16.06,16.06
2025-01-05,Apparel,AMER,1,29.31,29.31
2025-01-05,Gadgets,EMEA,35,27.64,967.4
2025-01-05,Gadgets,AMER,8,32.63,261.04
2025-01-05,Home,APAC,15,29.21,438.15
2025-01-05,Apparel,APAC,5,29.03,145.15
2025-01-05,Sports,APAC,7,29.46,206.22
2025-01-05,Food,EMEA,20,42.67,853.4
2025-01-05,Apparel,EMEA,4,34.71,138.84
2025-01-05,Food,EMEA,2,23.11,46.22
2025-01-05,Sports,EMEA,17,22.41,380.97
2025-01-05,Apparel,AMER,1,31.84,31.84
2025-01-05,Home,AMER,3,46.28,138.84
2025-01-05,Gadgets,EMEA,28,25.39,710.92
2025-01-06,Food,APAC,9,50.21,451.89
2025-01-06,Home,AMER,19,31.52,598.88
2025-01-06,Apparel,EMEA,9,30.3,272.7
2025-01-06,Home,AMER,19,31.5,598.5
2025-01-06,Sports,EMEA,8,12.53,100.24
2025-01-06,Home,APAC,24,16.27,390.48
2025-01-06,Food,EMEA,8,29.46,235.68
2025-01-06,Apparel,APAC,2,15.35,30.7
2025-01-06,Gadgets,AMER,2,37.22,74.44
2025-01-06,Home,EMEA,10,34.38,343.8
2025-01-06,Gadgets,AMER,17,22.6,384.2
2025-01-06,Home,APAC,29,18.97,550.13
2025-01-06,Food,APAC,4,33.93,135.72
2025-01-06,Apparel,APAC,1,43.36,43.36
2025-01-06,Sports,EMEA,18,48.95,881.1
2025-01-06,Gadgets,EMEA,4,24.9,99.6
2025-01-06,Gadgets,EMEA,1,27.71,27.71
2025-01-06,Home,AMER,4,31.35,125.4
2025-01-06,Sports,AMER,7,23.7,165.9
2025-01-06,Apparel,AMER,7,27.88,195.16
2025-01-06,Home,AMER,10,30.92,309.2
2025-01-06,Home,AMER,1,27.03,27.03
2025-01-06,Home,AMER,1,37.11,37.11
2025-01-06,Food,EMEA,7,17.42,121.94
2025-01-06,Food,APAC,10,31.55,315.5
2025-01-06,Home,APAC,6,30.52,183.12
2025-01-06,Apparel,AMER,11,23.01,253.11
2025-01-06,Gadgets,AMER,4,35.59,142.36
2025-01-06,Apparel,AMER,4,27.58,110.32
2025-01-06,Food,EMEA,8,27.01,216.08
2025-01-06,Sports,EMEA,2,27.99,55.98
2025-01-06,Gadgets,AMER,1,36.28,36.28
2025-01-06,Gadgets,EMEA,2,31.06,62.12
2025-01-06,Home,EMEA,22,46.25,1017.5
2025-01-07,Food,APAC,2,42.86,85.72
2025-01-07,Sports,AMER,2,31.63,63.26
2025-01-07,Gadgets,EMEA,12,43.57,522.84
2025-01-07,Food,EMEA,2,52.17,104.34
2025-01-07,Gadgets,EMEA,4,17.01,68.04
2025-01-07,Apparel,APAC,1,25.08,25.08
2025-01-07,Food,APAC,12,35.98,431.76
2025-01-07,Home,AMER,6,15.74,94.44
2025-01-07,Gadgets,APAC,15,21.64,324.6
2025-01-07,Sports,EMEA,2,31.26,62.52
2025-01-07,Sports,AMER,1,30.62,30.62
2025-01-07,Sports,APAC,2,25.14,50.28
2025-01-07,Home,APAC,2,34.61,69.22
2025-01-07,Home,AMER,9,27.71,249.39
2025-01-07,Apparel,APAC,10,34.76,347.6
2025-01-07,Home,APAC,3,30.05,90.15
2025-01-07,Gadgets,APAC,19,43.31,822.89
2025-01-07,Apparel,EMEA,1,31.84,31.84
2025-01-07,Home,AMER,11,17.66,194.26
2025-01-07,Apparel,AMER,17,43.55,740.35
2025-01-07,Home,APAC,2,29.64,59.28
2025-01-07,Gadgets,APAC,3,41.98,125.94
2025-01-07,Home,EMEA,4,33.12,132.48
2025-01-07,Food,AMER,4,47.96,191.84
2025-01-07,Food,APAC,6,22.43,134.58
2025-01-07,Sports,APAC,11,40.99,450.89
2025-01-07,Sports,EMEA,3,37.97,113.91
2025-01-07,Food,AMER,26,20.48,532.48
2025-01-07,Apparel,EMEA,8,24.46,195.68
2025-01-07,Apparel,APAC,2,27.75,55.5
2025-01-07,Sports,AMER,22,26.38,580.36
2025-01-07,Sports,APAC,21,23.58,495.18
2025-01-07,Sports,AMER,8,33.67,269.36
2025-01-07,Home,APAC,1,27.27,27.27
2025-01-07,Apparel,EMEA,2,26.14,52.28
2025-01-07,Gadgets,APAC,17,50.21,853.57
2025-01-07,Food,AMER,1,34.09,34.09
2025-01-07,Gadgets,EMEA,13,36.72,477.36
2025-01-08,Apparel,AMER,4,11.33,45.32
2025-01-08,Apparel,AMER,5,27.82,139.1
2025-01-08,Home,EMEA,2,17.87,35.74
2025-01-08,Sports,EMEA,1,38.21,38.21
2025-01-08,Home,EMEA,2,24.31,48.62
2025-01-08,Apparel,APAC,6,29.6,177.6
2025-01-08,Sports,EMEA,16,33.34,533.44
2025-01-08,Food,APAC,3,22.93,68.79
2025-01-08,Home,AMER,13,17.0,221.0
2025-01-08,Food,APAC,1,50.46,50.46
2025-01-08,Apparel,APAC,12,21.04,252.48
2025-01-08,Apparel,EMEA,7,25.39,177.73
2025-01-08,Home,AMER,1,1.35,1.35
2025-01-08,Food,AMER,24,18.64,447.36
2025-01-08,Apparel,APAC,1,23.68,23.68
2025-01-08,Sports,EMEA,17,39.68,674.56
2025-01-08,Home,AMER,9,12.51,112.59
2025-01-08,Food,EMEA,4,37.6,150.4
2025-01-08,Sports,AMER,11,31.28,344.08
2025-01-08,Home,EMEA,8,16.35,130.8
2025-01-08,Apparel,AMER,9,22.7,204.3
2025-01-08,Gadgets,AMER,16,40.84,653.44
2025-01-08,Gadgets,AMER,8,37.57,300.56
2025-01-08,Home,EMEA,14,27.27,381.78
2025-01-08,Sports,APAC,4,29.13,116.52
2025-01-08,Gadgets,EMEA,16,27.06,432.96
2025-01-08,Home,EMEA,6,31.96,191.76
2025-01-08,Gadgets,EMEA,1,32.36,32.36
2025-01-08,Food,APAC,3,16.22,48.66
2025-01-08,Home,EMEA,34,19.59,666.06
2025-01-09,Home,EMEA,20,30.71,614.2
2025-01-09,Food,EMEA,7,33.17,232.19
2025-01-09,Gadgets,EMEA,15,16.28,244.2
2025-01-09,Food,EMEA,2,22.71,45.42
2025-01-09,Home,EMEA,8,22.62,180.96
2025-01-09,Gadgets,APAC,2,28.64,57.28
2025-01-09,Sports,EMEA,6,36.35,218.1
2025-01-09,Apparel,EMEA,11,31.39,345.29
2025-01-09,Apparel,APAC,4,23.86,95.44
2025-01-09,Home,APAC,11,34.23,376.53
2025-01-09,Food,APAC,3,30.96,92.88
2025-01-09,Sports,AMER,8,29.86,238.88
2025-01-09,Food,AMER,4,24.63,98.52
2025-01-09,Apparel,EMEA,1,31.34,31.34
2025-01-09,Gadgets,APAC,10,27.22,272.2
2025-01-09,Apparel,APAC,3,33.9,101.7
2025-01-09,Sports,AMER,3,34.16,102.48
2025-01-09,Apparel,AMER,4,35.21,140.84
2025-01-09,Gadgets,AMER,1,37.98,37.98
2025-01-09,Home,AMER,14,40.19,562.66
2025-01-09,Gadgets,EMEA,6,38.4,230.4
2025-01-09,Home,EMEA,1,27.42,27.42
2025-01-09,Gadgets,AMER,7,30.83,215.81
2025-01-09,Apparel,AMER,1,21.25,21.25
2025-01-10,Apparel,AMER,24,38.33,919.92
2025-01-10,Apparel,AMER,16,26.18,418.88
2025-01-10,Apparel,AMER,1,36.99,36.99
2025-01-10,Home,APAC,1,21.56,21.56
2025-01-10,Sports,AMER,4,40.12,160.48
2025-01-10,Gadgets,APAC,9,31.06,279.54
2025-01-10,Food,EMEA,17,43.61,741.37
2025-01-10,Apparel,AMER,5,26.4,132.0
2025-01-10,Home,AMER,50,20.41,1020.5
2025-01-10,Sports,APAC,12,25.82,309.84
2025-01-10,Gadgets,AMER,5,10.02,50.1
2025-01-10,Gadgets,AMER,5,22.92,114.6
2025-01-10,Home,APAC,4,36.25,145.0
2025-01-10,Apparel,EMEA,3,29.62,88.86
2025-01-10,Gadgets,APAC,10,31.77,317.7
2025-01-10,Sports,AMER,24,37.77,906.48
2025-01-10,Home,EMEA,8,28.19,225.52
2025-01-10,Gadgets,AMER,38,39.24,1491.12
2025-01-10,Food,EMEA,3,42.87,128.61
2025-01-10,Apparel,APAC,2,34.34,68.68
2025-01-10,Food,APAC,8,24.92,199.36
2025-01-10,Gadgets,APAC,22,41.26,907.72
2025-01-10,Gadgets,AMER,14,25.33,354.62
2025-01-10,Food,APAC,7,42.28,295.96
2025-01-10,Apparel,AMER,17,44.27,752.59
2025-01-10,Home,AMER,2,32.19,64.38
2025-01-10,Gadgets,APAC,11,32.58,358.38
2025-01-10,Apparel,AMER,1,28.02,28.02
2025-01-10,Apparel,EMEA,27,30.72,829.44
2025-01-10,Food,APAC,39,37.16,1449.24
2025-01-10,Home,EMEA,7,30.19,211.33
2025-01-10,Food,APAC,11,38.71,425.81
2025-01-10,Sports,APAC,2,30.41,60.82
2025-01-10,Gadgets,APAC,15,38.43,576.45
2025-01-10,Home,EMEA,2,39.25,78.5
2025-01-11,Home,APAC,17,26.94,457.98
2025-01-11,Apparel,EMEA,15,23.23,348.45
2025-01-11,Food,AMER,2,27.91,55.82
2025-01-11,Gadgets,APAC,1,25.14,25.14
2025-01-11,Apparel,APAC,13,32.03,416.39
2025-01-11,Apparel,APAC,27,26.69,720.63
2025-01-11,Sports,AMER,22,26.33,579.26
2025-01-11,Home,APAC,12,31.45,377.4
2025-01-11,Gadgets,EMEA,6,25.21,151.26
2025-01-11,Home,AMER,8,45.19,361.52
2025-01-11,Sports,AMER,1,26.31,26.31
2025-01-11,Home,AMER,10,38.91,389.1
2025-01-11,Apparel,EMEA,3,20.06,60.18
2025-01-11,Food,APAC,3,28.48,85.44
2025-01-11,Apparel,AMER,10,19.66,196.6
2025-01-11,Gadgets,EMEA,2,36.88,73.76
2025-01-11,Sports,APAC,24,44.67,1072.08
2025-01-11,Home,APAC,5,21.34,106.7
2025-01-11,Home,APAC,4,37.44,149.76
2025-01-11,Home,APAC,9,36.78,331.02
2025-01-11,Sports,EMEA,16,33.94,543.04
2025-01-11,Gadgets,APAC,1,29.67,29.67
2025-01-11,Home,EMEA,7,34.01,238.07
2025-01-11,Apparel,AMER,2,27.85,55.7
2025-01-12,Gadgets,EMEA,1,32.9,32.9
2025-01-12,Sports,APAC,2,23.84,47.68
2025-01-12,Gadgets,AMER,9,37.03,333.27
2025-01-12,Home,APAC,2,16.16,32.32
2025-01-12,Food,EMEA,10,32.53,325.3
2025-01-12,Home,APAC,12,29.32,351.84
2025-01-12,Sports,EMEA,20,37.42,748.4
2025-01-12,Gadgets,APAC,1,36.67,36.67
2025-01-12,Sports,APAC,7,22.89,160.23
2025-01-12,Food,EMEA,1,30.2,30.2
2025-01-12,Sports,EMEA,5,31.46,157.3
2025-01-12,Apparel,EMEA,14,21.4,299.6
2025-01-12,Apparel,AMER,9,31.58,284.22
2025-01-12,Gadgets,AMER,8,36.94,295.52
2025-01-12,Gadgets,EMEA,22,31.07,683.54
2025-01-12,Sports,EMEA,8,34.08,272.64
2025-01-12,Home,EMEA,14,46.5,651.0
2025-01-12,Gadgets,EMEA,5,24.39,121.95
2025-01-12,Apparel,EMEA,8,27.51,220.08
2025-01-12,Home,EMEA,4,47.21,188.84
2025-01-12,Sports,APAC,2,34.85,69.7
2025-01-12,Home,EMEA,1,38.93,38.93
2025-01-12,Home,EMEA,4,25.98,103.92
2025-01-12,Sports,EMEA,5,54.65,273.25
2025-01-12,Food,APAC,5,33.76,168.8
2025-01-12,Gadgets,EMEA,26,26.54,690.04
2025-01-12,Apparel,APAC,15,40.98,614.7
2025-01-12,Sports,EMEA,17,35.96,611.32
2025-01-12,Gadgets,EMEA,11,38.53,423.83
2025-01-12,Apparel,EMEA,9,29.59,266.31
2025-01-12,Home,AMER,3,19.68,59.04
2025-01-12,Apparel,APAC,11,17.51,192.61
2025-01-12,Home,EMEA,11,32.49,357.39
2025-01-12,Food,APAC,3,27.57,82.71
2025-01-13,Gadgets,EMEA,1,19.3,19.3
2025-01-13,Sports,EMEA,16,38.48,615.68
2025-01-13,Food,AMER,8,16.95,135.6
2025-01-13,Home,EMEA,1,42.27,42.27
2025-01-13,Apparel,APAC,4,27.83,111.32
2025-01-13,Sports,AMER,24,39.77,954.48
2025-01-13,Gadgets,EMEA,2,27.33,54.66
2025-01-13,Gadgets,AMER,17,46.51,790.67
2025-01-13,Sports,AMER,1,29.33,29.33
2025-01-13,Food,EMEA,1,29.6,29.6
2025-01-13,Home,EMEA,2,43.63,87.26
2025-01-13,Sports,APAC,6,36.08,216.48
2025-01-13,Home,AMER,1,17.54,17.54
2025-01-13,Home,EMEA,4,33.93,135.72
2025-01-13,Sports,AMER,1,38.77,38.77
2025-01-13,Apparel,AMER,2,21.58,43.16
2025-01-13,Food,APAC,11,26.23,288.53
2025-01-13,Apparel,APAC,15,25.15,377.25
2025-01-13,Apparel,AMER,10,49.13,491.3
2025-01-13,Gadgets,AMER,22,29.44,647.68
2025-01-13,Sports,APAC,8,36.61,292.88
2025-01-13,Sports,EMEA,60,44.42,2665.2
2025-01-13,Gadgets,APAC,5,32.47,162.35
2025-01-13,Food,AMER,11,33.28,366.08
2025-01-13,Sports,EMEA,5,39.42,197.1
2025-01-13,Apparel,EMEA,17,20.08,341.36
2025-01-13,Home,APAC,14,30.86,432.04
2025-01-13,Gadgets,APAC,4,21.67,86.68
2025-01-13,Sports,EMEA,5,22.82,114.1
2025-01-13,Gadgets,APAC,3,42.32,126.96
2025-01-13,Gadgets,AMER,3,31.26,93.78
2025-01-13,Apparel,EMEA,5,24.3,121.5
2025-01-13,Home,APAC,16,9.9,158.4
2025-01-13,Food,APAC,4,48.23,192.92
2025-01-14,Food,EMEA,6,28.7,172.2
2025-01-14,Home,AMER,14,16.83,235.62
2025-01-14,Apparel,AMER,6,27.74,166.44
2025-01-14,Food,AMER,3,39.99,119.97
2025-01-14,Home,AMER,1,28.39,28.39
2025-01-14,Apparel,EMEA,6,34.32,205.92
2025-01-14,Food,EMEA,3,31.34,94.02
2025-01-14,Apparel,EMEA,11,41.04,451.44
2025-01-14,Gadgets,APAC,5,28.83,144.15
2025-01-14,Sports,EMEA,13,28.63,372.19
2025-01-14,Gadgets,EMEA,2,28.75,57.5
2025-01-14,Gadgets,APAC,9,36.27,326.43
2025-01-14,Home,APAC,8,30.29,242.32
2025-01-14,Gadgets,EMEA,2,30.22,60.44
2025-01-14,Apparel,EMEA,4,31.31,125.24
2025-01-14,Gadgets,EMEA,3,32.02,96.06
2025-01-14,Sports,EMEA,11,33.38,367.18
2025-01-14,Gadgets,EMEA,12,37.04,444.48
2025-01-14,Apparel,APAC,5,26.32,131.6
2025-01-14,Sports,EMEA,6,25.21,151.26
2025-01-14,Food,APAC,2,21.39,42.78
2025-01-14,Home,EMEA,3,23.98,71.94
2025-01-14,Food,APAC,1,26.42,26.42
2025-01-14,Food,EMEA,5,24.37,121.85
2025-01-14,Food,AMER,11,33.02,363.22
2025-01-14,Apparel,AMER,12,39.53,474.36
2025-01-14,Sports,APAC,18,25.25,454.5
2025-01-14,Home,EMEA,4,21.78,87.12
2025-01-14,Sports,APAC,6,31.77,190.62
2025-01-14,Apparel,AMER,7,17.45,122.15
2025-01-14,Food,EMEA,4,35.46,141.84
2025-01-15,Sports,EMEA,7,45.47,318.29
2025-01-15,Sports,APAC,2,21.97,43.94
2025-01-15,Apparel,EMEA,5,34.94,174.7
2025-01-15,Sports,APAC,3,29.74,89.22
2025-01-15,Food,AMER,5,32.97,164.85
2025-01-15,Food,APAC,15,48.45,726.75
2025-01-15,Apparel,AMER,17,33.05,561.85
2025-01-15,Food,EMEA,2,24.44,48.88
2025-01-15,Gadgets,APAC,4,20.5,82.0
2025-01-15,Gadgets,APAC,6,25.49,152.94
2025-01-15,Apparel,EMEA,6,36.41,218.46
2025-01-15,Home,EMEA,6,30.55,183.3
2025-01-15,Home,EMEA,17,29.11,494.87
2025-01-15,Home,AMER,3,28.5,85.5
2025-01-15,Apparel,AMER,10,23.85,238.5
2025-01-15,Apparel,EMEA,30,38.59,1157.7
2025-01-15,Gadgets,APAC,16,33.7,539.2
2025-01-15,Sports,AMER,6,41.02,246.12
2025-01-15,Food,AMER,25,34.36,859.0
2025-01-15,Gadgets,APAC,4,33.96,135.84
2025-01-15,Sports,APAC,23,30.33,697.59
2025-01-16,Apparel,APAC,1,20.22,20.22
2025-01-16,Apparel,AMER,2,34.7,69.4
2025-01-16,Home,APAC,13,24.39,317.07
2025-01-16,Home,EMEA,1,29.4,29.4
2025-01-16,Gadgets,AMER,3,24.99,74.97
2025-01-16,Sports,APAC,6,27.48,164.88
2025-01-16,Gadgets,APAC,8,37.5,300.0
2025-01-16,Sports,EMEA,5,18.02,90.1
2025-01-16,Food,AMER,5,25.84,129.2
2025-01-16,Sports,EMEA,15,20.53,307.95
2025-01-16,Food,APAC,12,29.66,355.92
2025-01-16,Home,APAC,1,28.51,28.51
2025-01-16,Food,EMEA,10,33.56,335.6
2025-01-16,Food,APAC,15,20.35,305.25
2025-01-16,Food,APAC,2,18.8,37.6
2025-01-16,Home,AMER,6,23.8,142.8
2025-01-16,Food,EMEA,2,26.78,53.56
2025-01-16,Apparel,AMER,4,34.33,137.32
2025-01-16,Sports,APAC,5,32.18,160.9
2025-01-16,Gadgets,APAC,9,31.56,284.04
2025-01-16,Gadgets,APAC,14,28.32,396.48
2025-01-16,Apparel,EMEA,3,26.86,80.58
2025-01-16,Food,AMER,6,22.31,133.86
2025-01-16,Gadgets,AMER,18,12.61,226.98
2025-01-16,Food,AMER,1,29.66,29.66
2025-01-16,Food,APAC,11,31.97,351.67
2025-01-16,Gadgets,APAC,13,10.43,135.59
2025-01-16,Sports,AMER,29,31.39,910.31
2025-01-16,Home,AMER,13,21.29,276.77
2025-01-16,Food,EMEA,15,15.67,235.05
2025-01-16,Apparel,EMEA,1,37.49,37.49
2025-01-16,Gadgets,APAC,4,30.18,120.72
2025-01-16,Apparel,AMER,2,40.53,81.06
2025-01-16,Gadgets,APAC,7,34.35,240.45
2025-01-16,Apparel,EMEA,13,41.54,540.02
2025-01-16,Sports,EMEA,2,44.29,88.58
2025-01-16,Gadgets,EMEA,3,21.54,64.62
2025-01-16,Sports,EMEA,8,14.17,113.36
2025-01-16,Sports,EMEA,22,29.53,649.66
2025-01-17,Food,AMER,9,46.24,416.16
2025-01-17,Gadgets,APAC,7,19.97,139.79
2025-01-17,Sports,AMER,4,34.74,138.96
2025-01-17,Home,APAC,23,33.1,761.3
2025-01-17,Home,EMEA,2,24.69,49.38
2025-01-17,Home,AMER,15,32.37,485.55
2025-01-17,Food,APAC,6,43.52,261.12
2025-01-17,Home,AMER,10,32.53,325.3
2025-01-17,Food,AMER,2,37.1,74.2
2025-01-17,Apparel,APAC,11,27.06,297.66
2025-01-17,Home,EMEA,9,34.78,313.02
2025-01-17,Gadgets,EMEA,11,33.36,366.96
2025-01-17,Apparel,APAC,4,39.4,157.6
2025-01-17,Gadgets,EMEA,16,32.4,518.4
2025-01-17,Gadgets,EMEA,12,32.45,389.4
2025-01-17,Sports,AMER,12,29.05,348.6
2025-01-17,Home,APAC,2,39.68,79.36
2025-01-17,Food,EMEA,18,16.31,293.58
2025-01-17,Food,EMEA,10,41.56,415.6
2025-01-17,Food,EMEA,8,39.23,313.84
2025-01-17,Sports,APAC,8,25.32,202.56
2025-01-17,Sports,APAC,9,30.91,278.19
2025-01-17,Sports,EMEA,6,24.4,146.4
2025-01-17,Apparel,AMER,3,29.84,89.52
2025-01-17,Home,EMEA,10,40.4,404.0
2025-01-17,Sports,EMEA,33,34.33,1132.89
2025-01-17,Home,APAC,2,25.95,51.9
2025-01-17,Gadgets,AMER,3,25.24,75.72
2025-01-17,Sports,AMER,12,28.53,342.36
2025-01-17,Gadgets,EMEA,9,44.79,403.11
2025-01-17,Home,AMER,5,21.29,106.45
2025-01-17,Sports,AMER,11,32.75,360.25
2025-01-17,Home,APAC,10,30.29,302.9
2025-01-17,Food,EMEA,6,32.49,194.94
2025-01-17,Apparel,AMER,5,28.72,143.6
2025-01-17,Home,APAC,15,34.01,510.15
2025-01-18,Food,EMEA,8,25.64,205.12
2025-01-18,Apparel,AMER,5,37.1,185.5
2025-01-18,Sports,APAC,12,36.12,433.44
2025-01-18,Gadgets,APAC,1,29.1,29.1
2025-01-18,Sports,AMER,3,28.27,84.81
2025-01-18,Sports,EMEA,3,37.21,111.63
2025-01-18,Apparel,APAC,12,23.47,281.64
2025-01-18,Sports,APAC,6,10.51,63.06
2025-01-18,Apparel,AMER,27,36.97,998.19
2025-01-18,Food,EMEA,15,34.24,513.6
2025-01-18,Food,EMEA,32,39.93,1277.76
2025-01-18,Food,AMER,11,25.44,279.84
2025-01-18,Home,APAC,24,21.39,513.36
2025-01-18,Sports,APAC,2,23.32,46.64
2025-01-18,Gadgets,APAC,32,28.59,914.88
2025-01-18,Food,EMEA,5,41.41,207.05
